"","variable","region","period","unit","scenario","value","model"
"1","ES|Transport|Freight|Road","NonOECD",2025,"bn tkm/yr","historical",24168.5338125497,"IEA ETP B2DS"
"2","ES|Transport|Freight|Road","OECD",2014,"bn tkm/yr","historical",11879.3443194572,"IEA ETP B2DS"
"3","ES|Transport|Freight|Road","NonOECD",2014,"bn tkm/yr","historical",15909.3500083635,"IEA ETP B2DS"
"4","ES|Transport|Freight|Road","ASEAN",2014,"bn tkm/yr","historical",1349.98800841613,"IEA ETP B2DS"
"5","ES|Transport|Freight|Road","Brazil",2014,"bn tkm/yr","historical",1568.83955172064,"IEA ETP B2DS"
"6","ES|Transport|Freight|Road","China",2014,"bn tkm/yr","historical",5628.86548025776,"IEA ETP B2DS"
"7","ES|Transport|Freight|Road","European Union",2014,"bn tkm/yr","historical",2910.19046302666,"IEA ETP B2DS"
"8","ES|Transport|Freight|Road","India",2014,"bn tkm/yr","historical",1347.04819025637,"IEA ETP B2DS"
"9","ES|Transport|Freight|Road","Mexico",2014,"bn tkm/yr","historical",521.454942440157,"IEA ETP B2DS"
"10","ES|Transport|Freight|Road","Russia",2014,"bn tkm/yr","historical",890.546802914028,"IEA ETP B2DS"
"11","ES|Transport|Freight|Road","South Africa",2014,"bn tkm/yr","historical",295.63278379108,"IEA ETP B2DS"
"12","ES|Transport|Freight|Road","United States",2014,"bn tkm/yr","historical",6117.50063659688,"IEA ETP B2DS"
"13","ES|Transport|Freight|Road","OECD",2025,"bn tkm/yr","historical",13913.3431481109,"IEA ETP B2DS"
"14","ES|Transport|Freight|Road","Mexico",2014,"bn tkm/yr","historical",521.454942440157,"IEA ETP 2DS"
"15","ES|Transport|Freight|Road","Russia",2014,"bn tkm/yr","historical",890.546802914028,"IEA ETP 2DS"
"16","ES|Transport|Freight|Road","South Africa",2014,"bn tkm/yr","historical",295.63278379108,"IEA ETP 2DS"
"17","ES|Transport|Freight|Road","United States",2014,"bn tkm/yr","historical",6117.50063659688,"IEA ETP 2DS"
"18","ES|Transport|Freight|Road","OECD",2025,"bn tkm/yr","historical",14129.0354984693,"IEA ETP 2DS"
"19","ES|Transport|Freight|Road","NonOECD",2025,"bn tkm/yr","historical",25485.6754618319,"IEA ETP 2DS"
"20","ES|Transport|Freight|Road","OECD",2014,"bn tkm/yr","historical",11879.3443194572,"IEA ETP 2DS"
"21","ES|Transport|Freight|Road","NonOECD",2014,"bn tkm/yr","historical",15909.3500083635,"IEA ETP 2DS"
"22","ES|Transport|Freight|Road","ASEAN",2014,"bn tkm/yr","historical",1349.98800841613,"IEA ETP 2DS"
"23","ES|Transport|Freight|Road","Brazil",2014,"bn tkm/yr","historical",1568.83955172064,"IEA ETP 2DS"
"24","ES|Transport|Freight|Road","China",2014,"bn tkm/yr","historical",5628.86548025776,"IEA ETP 2DS"
"25","ES|Transport|Freight|Road","European Union",2014,"bn tkm/yr","historical",2910.19046302666,"IEA ETP 2DS"
"26","ES|Transport|Freight|Road","India",2014,"bn tkm/yr","historical",1347.04819025637,"IEA ETP 2DS"
"27","ES|Transport|Freight|Road","OECD",2014,"bn tkm/yr","historical",11879.3443194572,"IEA ETP RTS"
"28","ES|Transport|Freight|Road","NonOECD",2014,"bn tkm/yr","historical",15909.3500083635,"IEA ETP RTS"
"29","ES|Transport|Freight|Road","ASEAN",2014,"bn tkm/yr","historical",1349.98800841613,"IEA ETP RTS"
"30","ES|Transport|Freight|Road","Brazil",2014,"bn tkm/yr","historical",1568.83955172064,"IEA ETP RTS"
"31","ES|Transport|Freight|Road","China",2014,"bn tkm/yr","historical",5628.86548025776,"IEA ETP RTS"
