sector;subsector_L3;subsector_L2;subsector_L1;vehicle_type;technology;aggr_mode;aggr_LDV;aggr_veh;nonmot;aggr_nonmot;det_veh;aggr_bunkers
Freight;Domestic Ship;Domestic Ship_tmp_subsector_L2;Domestic Ship_tmp_subsector_L1;Domestic Ship_tmp_vehicletype;Liquids;NA;NA;Freight|Navigation;NA;NA;NA;Freight|w/o bunkers
Freight;Freight Rail;Freight Rail_tmp_subsector_L2;Freight Rail_tmp_subsector_L1;Freight Rail_tmp_vehicletype;Electric;NA;NA;Freight|Rail;NA;NA;NA;Freight|w/o bunkers
Freight;Freight Rail;Freight Rail_tmp_subsector_L2;Freight Rail_tmp_subsector_L1;Freight Rail_tmp_vehicletype;Liquids;NA;NA;Freight|Rail;NA;NA;NA;Freight|w/o bunkers
Freight;International Ship;International Ship_tmp_subsector_L2;International Ship_tmp_subsector_L1;International Ship_tmp_vehicletype;Liquids;NA;NA;Freight|International Shipping;NA;NA;NA;NA
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (0-3.5t);Electric;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (0-3.5t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (0-3.5t);FCEV;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (0-3.5t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (0-3.5t);Liquids;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (0-3.5t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (0-3.5t);NG;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (0-3.5t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (18t);Electric;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (18t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (18t);FCEV;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (18t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (18t);Liquids;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (18t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (18t);NG;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (18t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (26t);Electric;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (26t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (26t);FCEV;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (26t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (26t);Liquids;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (26t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (26t);NG;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (26t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (40t);Electric;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (40t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (40t);FCEV;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (40t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (40t);Liquids;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (40t);Freight|w/o bunkers
