scenario_name;options;switch
ConvCase;enhancedtech;FALSE
ConvCase;merge_traccs;TRUE
ConvCase;rebates_febates;FALSE
ConvCase;selfmarket_taxes;FALSE
ConvCase;smartlifestyle;FALSE
ElecEra;enhancedtech;TRUE
ElecEra;merge_traccs;TRUE
ElecEra;rebates_febates;TRUE
ElecEra;selfmarket_taxes;TRUE
ElecEra;smartlifestyle;FALSE
HydrHype;enhancedtech;TRUE
HydrHype;merge_traccs;TRUE
HydrHype;rebates_febates;TRUE
HydrHype;selfmarket_taxes;TRUE
HydrHype;smartlifestyle;FALSE
ConvCaseWise;enhancedtech;FALSE
ConvCaseWise;merge_traccs;TRUE
ConvCaseWise;rebates_febates;FALSE
ConvCaseWise;selfmarket_taxes;FALSE
ConvCaseWise;smartlifestyle;TRUE
ElecEraWise;enhancedtech;TRUE
ElecEraWise;merge_traccs;TRUE
ElecEraWise;rebates_febates;TRUE
ElecEraWise;selfmarket_taxes;TRUE
ElecEraWise;smartlifestyle;TRUE
HydrHypeWise;enhancedtech;TRUE
HydrHypeWise;merge_traccs;TRUE
HydrHypeWise;rebates_febates;TRUE
HydrHypeWise;selfmarket_taxes;TRUE
HydrHypeWise;smartlifestyle;TRUE
