region;univocalName;present
ABW;Bus;1
ABW;Compact Car;1
ABW;Cycle;1
ABW;Domestic Aviation;1
ABW;Domestic Ship;1
ABW;Freight Rail;1
ABW;HSR;1
ABW;International Aviation;1
ABW;International Ship;1
ABW;Large Car;0
ABW;Large Car and SUV;1
ABW;Midsize Car;1
ABW;Mini Car;1
ABW;Moped;1
ABW;Motorcycle (50-250cc);1
ABW;Motorcycle (>250cc);1
ABW;Passenger Rail;1
ABW;Subcompact Car;1
ABW;Truck (0-3.5t);1
ABW;Truck (18t);1
ABW;Truck (26t);1
ABW;Truck (40t);1
ABW;Truck (7.5t);1
ABW;Van;1
ABW;Walk;1
AFG;Bus;1
AFG;Compact Car;1
AFG;Cycle;1
AFG;Domestic Aviation;1
AFG;Domestic Ship;1
AFG;Freight Rail;1
AFG;HSR;1
AFG;International Aviation;1
AFG;International Ship;1
AFG;Large Car;0
AFG;Large Car and SUV;1
AFG;Midsize Car;1
AFG;Mini Car;1
AFG;Moped;1
AFG;Motorcycle (50-250cc);1
AFG;Motorcycle (>250cc);1
AFG;Passenger Rail;1
AFG;Subcompact Car;1
AFG;Truck (0-3.5t);1
AFG;Truck (18t);1
AFG;Truck (26t);1
AFG;Truck (40t);1
AFG;Truck (7.5t);1
AFG;Van;1
AFG;Walk;1
AGO;Bus;1
AGO;Compact Car;1
AGO;Cycle;1
AGO;Domestic Aviation;1
AGO;Domestic Ship;1
AGO;Freight Rail;1
AGO;HSR;1
AGO;International Aviation;1
AGO;International Ship;1
AGO;Large Car;0
AGO;Large Car and SUV;1
AGO;Midsize Car;1
AGO;Mini Car;1
AGO;Moped;0
AGO;Motorcycle (50-250cc);1
AGO;Motorcycle (>250cc);1
AGO;Passenger Rail;1
AGO;Subcompact Car;1
AGO;Truck (0-3.5t);1
AGO;Truck (18t);1
AGO;Truck (26t);1
AGO;Truck (40t);1
AGO;Truck (7.5t);1
AGO;Van;1
AGO;Walk;1
AIA;Bus;1
AIA;Compact Car;1
AIA;Cycle;1
AIA;Domestic Aviation;1
AIA;Domestic Ship;1
AIA;Freight Rail;1
AIA;HSR;1
AIA;International Aviation;1
AIA;International Ship;1
AIA;Large Car;0
AIA;Large Car and SUV;1
AIA;Midsize Car;1
AIA;Mini Car;1
AIA;Moped;1
AIA;Motorcycle (50-250cc);1
AIA;Motorcycle (>250cc);1
AIA;Passenger Rail;1
AIA;Subcompact Car;1
AIA;Truck (0-3.5t);1
AIA;Truck (18t);1
AIA;Truck (26t);1
AIA;Truck (40t);1
AIA;Truck (7.5t);1
AIA;Van;1
AIA;Walk;1
ALA;Bus;1
ALA;Compact Car;1
ALA;Cycle;1
ALA;Domestic Aviation;1
ALA;Domestic Ship;1
ALA;Freight Rail;1
ALA;HSR;1
ALA;International Aviation;1
ALA;International Ship;1
ALA;Large Car;0
ALA;Large Car and SUV;1
ALA;Midsize Car;1
ALA;Mini Car;1
ALA;Moped;1
ALA;Motorcycle (50-250cc);1
ALA;Motorcycle (>250cc);1
ALA;Passenger Rail;1
ALA;Subcompact Car;1
ALA;Truck (0-3.5t);1
ALA;Truck (18t);1
ALA;Truck (26t);1
ALA;Truck (40t);1
ALA;Truck (7.5t);1
ALA;Van;1
ALA;Walk;1
ALB;Bus;1
ALB;Compact Car;1
ALB;Cycle;1
ALB;Domestic Aviation;1
ALB;Domestic Ship;1
ALB;Freight Rail;1
ALB;HSR;1
