year,ISO,ISO_No,Name,PWC_Lat,PWC_Lon,Pop,Density,Area,PWD_A,PWD_G,PWD_M,PWD_P1,PWD_P2,PWD_P3,PWD_P4,PWD_P5,PWD_P6,PWD_P7,PWD_P8,PWD_P9,PWD_P10,PWD_P11,PWD_P12,PWD_P13,PWD_P14,PWD_P15,PWD_P16,PWD_P17,PWD_P18,PWD_P19,PWD_P20,PWD_P21,PWD_P22,PWD_P23,PWD_P24,PWD_P25,PWD_P26,PWD_P27,PWD_P28,PWD_P29,PWD_P30,PWD_P31,PWD_P32,PWD_P33,PWD_P34,PWD_P35,PWD_P36,PWD_P37,PWD_P38,PWD_P39,PWD_P40,PWD_P41,PWD_P42,PWD_P43,PWD_P44,PWD_P45,PWD_P46,PWD_P47,PWD_P48,PWD_P49,PWD_P50,PWD_P51,PWD_P52,PWD_P53,PWD_P54,PWD_P55,PWD_P56,PWD_P57,PWD_P58,PWD_P59,PWD_P60,PWD_P61,PWD_P62,PWD_P63,PWD_P64,PWD_P65,PWD_P66,PWD_P67,PWD_P68,PWD_P69,PWD_P70,PWD_P71,PWD_P72,PWD_P73,PWD_P74,PWD_P75,PWD_P76,PWD_P77,PWD_P78,PWD_P79,PWD_P80,PWD_P81,PWD_P82,PWD_P83,PWD_P84,PWD_P85,PWD_P86,PWD_P87,PWD_P88,PWD_P89,PWD_P90,PWD_P91,PWD_P92,PWD_P93,PWD_P94,PWD_P95,PWD_P96,PWD_P97,PWD_P98,PWD_P99,PWD_P100
2020,RUS,643,Russia,53.7622,53.7187,145934459,8.9,16416864.1,4378.1,757.2,1202,0.8,1.6,2.7,3.9,5.4,7.3,9.6,12.6,16.2,20.7,25.9,31.8,38.5,46,54.3,63.3,73.1,83.6,94.8,106.8,119.4,132.7,146.9,161.9,177.8,194.7,212.7,231.7,251.9,273.3,296,320.3,346.1,373.8,403.3,434.6,468.1,504,543,585.1,630.3,679.2,731.7,788.4,848.1,911.7,978.7,1049.4,1123.9,1202,1283.6,1369.7,1459.1,1552.7,1650.6,1752,1857.9,1970.4,2089.5,2215.8,2350.3,2493,2646.5,2811.4,2990.2,3182.1,3385.8,3599.4,3821.7,4056.5,4303.5,4557.7,4823.7,5099.1,5381.4,5671.6,5958.4,6259.9,6581.2,6924.1,7285.8,7670.3,8073.6,8467,8816.7,9188.4,9669.7,10217.5,10870.1,11818.7,12856.7,14170.3,15788.9,17706,19689.9,21882.5,24827.6,28614.2,34813.8,187630.4
2020,IDN,360,Indonesia,-4.827971458,110.4452972,273523621,145,1886224.8,3698.1,1012.6,1149.4,10.1,17.3,24.1,30.9,37.8,44.9,52.1,59.5,67.3,75.3,84,93,102.4,112,122.3,133.4,145.1,157.6,170.7,184.4,199.3,215.5,232.9,251.7,271.5,292.8,315.9,340.4,366.4,394,422.9,453.2,484.3,516.2,549,582.5,616.7,651.6,687.3,723.6,760.7,798.3,837,876.9,918.7,962.1,1006.7,1052.6,1100,1149.4,1200.4,1253.1,1307.1,1362.8,1421.2,1482.9,1548,1616.7,1689.4,1768.3,1853.2,1947.1,2053,2173.7,2312.2,2471.1,2652.3,2856.9,3080,3314.3,3552.7,3797.9,4052.4,4322.9,4608.5,4908.8,5224.3,5563.8,5923.7,6315.5,6730.5,7169.3,7627.9,8129.1,8665.6,9241.5,9838.5,10446.2,11103.7,11795.3,12548.1,13403.8,14356.6,15264.5,16207,17136.3,18530.8,20866.9,25588.4,36710.4
2020,USA,840,United States,37.3172,-92.4788,331002647,36.1,9173859.1,4445,1383.1,1955.8,5.1,10.7,17.3,25.1,34.1,44.6,56.7,70.5,86.3,104.2,124.6,147.5,173.1,201.8,233.3,267.4,303.7,342.3,383,425,468.2,512.4,557.2,602.5,648.3,694.7,741.4,788.9,836.7,884.7,933.3,982.5,1031.8,1081.5,1131.6,1182.2,1233.2,1285,1337.1,1389.9,1443.2,1496.9,1551.4,1606.8,1662.9,1719.6,1777.2,1835.6,1895,1955.8,2017.4,2080.2,2144.4,2209.6,2277.1,2345.9,2416.1,2488.3,2562.3,2638.7,2717.4,2798.5,2882.5,2969.3,3059.1,3153.1,3250.4,3351.7,3458.3,3570.2,3687.3,3810.9,3940.8,4078.4,4224.3,4380.4,4548.2,4727.4,4921.5,5133,5362.7,5616.9,5896.6,6208.6,6558,6951.9,7399.9,7911.9,8511.6,9208.2,10039.5,11054.1,12283.2,13841.5,15874.6,18744.1,23143.1,30722,47778.3,485077.8
2020,VIR,850,Virgin_Islands_U_S,18.05821991,-64.84861755,104422,272.3,383.5,739.1,513.8,535.5,25.5,38.3,52.6,68.3,85.4,104.2,121.7,137.4,153.7,167.9,179.7,190.2,200.2,209.5,219.9,230,240.7,251.2,262.9,273.9,285.3,295.7,306.6,317.1,327,336.8,347.9,359.7,370.7,380.7,390.2,399.5,409.1,417,425.1,432.4,439.6,445.9,452.2,459.7,466.8,474.6,482.2,490.1,498.3,506.1,513.5,520.6,527.9,535.5,543.7,551,558,566,574.1,583.1,591,600.7,610.3,619.4,631.2,642.1,652.8,663.2,674.7,687.2,699.9,713.7,729,745,764.2,783.4,812.4,855.4,914.5,1055.3,1154.2,1231.6,1328.1,1403.3,1455.9,1500.9,1552.6,1583.4,1612.9,1650,1690.3,1725.7,1764.6,1801.3,1835.6,1873.2,1905.2,1947.8,1976.8,2016.4,2043.9,2062,2089,2158.3
2020,GRL,304,Greenland,65.9936142,-50.67371368,56771,0,2128390.2,564.6,415.6,554.8,20.4,31.9,46.2,60.9,70.9,80.2,87.7,96.4,103.8,110.1,118,126.3,135.1,144.4,153.2,161.1,168.9,177,185.7,193.7,201.8,210.7,222.5,234.9,245.9,257.4,269.7,284.8,300.1,315.6,330,341.5,353.9,368.2,381.4,397.7,413.4,424.9,436.4,448.6,457.6,465.3,476.2,486.8,498.2,508,516.6,527.4,541.5,554.8,565.4,574.3,582.5,595.1,609.7,619.9,632.3,646.7,661.9,674.8,692.8,707.4,720.6,731,740,748.9,758.9,766.8,773.6,780.3,787.3,796,804.2,812.5,820.8,829.6,839.1,849.9,865.8,882.1,901.6,925.2,948.7,980,1008.3,1030.2,1045.3,1057.2,1070.6,1083.8,1095.8,1106.4,1115.4,1122.8,1130,1137.6,1146.8,1158.3,1173.5,1258
2020,CHN,156,China,32.3261,113.8171,1439323773,155.7,9241743.8,10143.1,1677.7,1413.1,17.6,31.3,43.7,55.8,68.1,80.7,93.8,107.4,121.5,135.9,150.7,165.8,181.2,196.9,212.9,229.1,245.7,262.6,279.7,297.2,315,333.2,351.8,371,390.7,411.1,432.1,454,476.7,500.5,525.2,551.2,578.5,607.2,637.5,669.3,702.9,738.3,776,815.9,858.3,903.5,951.9,1003.6,1059.2,1119,1183.8,1253.8,1330,1413.1,1503.6,1602.3,1710.3,1828.2,1957,2097.7,2250.1,2416.3,2596.3,2791.4,3003.2,3230.9,3476.5,3740.7,4023.4,4326.2,4649,4993.9,5365,5761.2,6181.1,6631.5,7111.5,7624.4,8173.9,8766.6,9405.2,10095.9,10845.3,11655,12540,13513.5,14576.9,15749,17049.7,18498,20110.1,21950.3,24042.8,26405.4,29194.5,32470,36355.4,41143.4,47143.6,54993.9,66466.6,84311.8,119175.3,3738717.3
2020,AUS,36,Australia,-32.92074585,144.7640076,25499881,3.3,7637991.2,3382.9,1591.9,2649,1.4,4.7,10,17.8,29,45.2,68,98.6,137.7,187.1,246,315.2,392.1,473.8,556.9,639.1,720.9,800,877.3,953.1,1027.5,1099.8,1171.1,1240.1,1308.4,1376.5,1442.6,1508.1,1571.8,1634.9,1694.7,1754.3,1813.9,1872.1,1929.8,1985,2037.5,2088.4,2138.9,2188.1,2236.8,2283.6,2330.7,2376.8,2422.8,2468.5,2513.2,2558.5,2604.2,2649,2692.9,2736.9,2782.1,2827.1,2871.5,2913.6,2957.5,3001.7,3046.6,3092.3,3137.8,3184.2,3230.7,3279.1,3328.7,3377.3,3426.8,3477.1,3528.6,3582.7,3637.3,3694.3,3752.4,3814.8,3881.4,3948.3,4017.6,4092.4,4173.6,4260.5,4349.8,4445,4549.5,4660.4,4785.2,4927.2,5083,5262.7,5473.9,5723,6033.1,6429,6928,7611,8545.7,9847.5,11758.2,14917.6,21207.8,191398
2020,BRA,76,Brazil,-16.81271172,-45.79795456,212559409,25.2,8419955,10612.1,3340.3,6121.2,1.8,4,7.1,11.8,18.9,29.3,44,64.2,91.6,128.7,177.6,241.3,321.7,419.2,532.2,658.3,793.9,936.4,1084.2,1234.5,1387.4,1541.5,1696.2,1849.9,2002.8,2154.6,2306.3,2458,2608.9,2761.5,2912.1,3063.7,3216.1,3368.7,3522.6,3678,3835.3,3996.9,4157.7,4320.3,4488.2,4655.8,4827.2,5001.6,5177.3,5357,5541.1,5730.1,5923.3,6121.2,6321.2,6526.8,6736.3,6948.3,7164.6,7387.9,7615.9,7850.3,8089.7,8329.6,8578.6,8832.7,9093,9362.7,9645.2,9937.4,10229.8,10537.2,10855.2,11183.6,11524.9,11886.1,12260.6,12652.5,13055.4,13477.4,13918.3,14387.9,14879.2,15402.6,15962.3,16557.8,17194.3,17894.3,18646.5,19474.7,20373.8,21371.4,22512,23782,25222.3,26908.8,28939.4,31565.8,34934.9,39434.1,46022.1,57097.2,80468.1,458927
2020,CAN,124,Canada,46.89425278,-88.24702454,37742157,4.1,9139103,6063.9,1989.3,3488.7,2,4.6,8,12.7,19.1,27.6,38.8,53.1,71,93.1,119.7,152,190.7,236.7,291.1,354.7,426.8,507,594.7,689.8,789.7,890.7,993.8,1098.5,1205.6,1311.4,1416.2,1519.1,1619.5,1717.5,1816.1,1910.9,2005.6,2100.6,2192.4,2282.1,2371.6,2459.9,2547.6,2635.3,2722.6,2807.9,2891.7,2975.7,3059.5,3143.1,3227.6,3312.6,3399.7,3488.7,3581,3672.1,3764.4,3860.6,3956.4,4053.1,4151.6,4254.2,4361.4,4473,4586.1,4702.5,4822.3,4942.6,5070.3,5205.6,5347.1,5496.5,5652.5,5821.1,5997.3,6182.6,6370.5,6565.2,6770.8,6986.9,7223.1,7481.9,7761.9,8067,8384.3,8721.4,9101.9,9521.6,9966.5,10453.7,10992.2,11585.5,12261.8,13018.6,13939.2,14985.2,16236.1,17750.6,19873.5,22603.2,26439.5,33580.8,47725.3,363122.2
2020,CHL,152,Chile,-34.02973557,-71.30969238,19116208,25.6,746900.3,5233.8,1577.1,3189.6,1.6,4,6.6,10,14.1,19.2,25.6,33.2,42.3,53.1,65.9,82,102.1,128,159.3,195.3,233.2,272.6,312.4,353.8,395.9,440.2,486.8,536.2,590.6,655,724.1,797.8,878.1,958.4,1038.1,1123.7,1215.3,1317.7,1435.7,1555.2,1664.7,1772.5,1887,2005.5,2128.5,2257.6,2384,2498.3,2611.5,2728.6,2842.4,2960.8,3072.4,3189.6,3309.7,3420.8,3525.3,3633.2,3739.3,3852.1,3968.9,4081.6,4192.8,4304.2,4432.1,4588.2,4749.8,4926.3,5105,5281.9,5444.2,5588.8,5735.1,5886,6036.7,6193.6,6352.1,6547.4,6761.6,6995.5,7230.5,7457.9,7740.7,8088.3,8564.6,9079,9574.2,10028.4,10504.7,11009.1,11507.7,11977.5,12502.6,14064.9,16270.2,17567.7,18797.5,19678.2,20499.5,21766.8,23773.4,25647,26957,30608.7
