SSP_scenario,tech_scenario,regioncat,level,subsector_L3,subsector_L2,FV_vehvar,FV_techvar,target,symmyr,speed
SSP2,Mix2,poor,FV,,,Aviation,Electric,1,2050,10
SSP2,Mix2,poor,FV,,,Aviation,Hydrogen,1,2050,10
SSP2,Mix2,poor,FV,,,Aviation,Liquids,1,2050,10
SSP2,Mix2,poor,FV,,,Bus,Electric,1.5,2035,10
SSP2,Mix2,poor,FV,,,Bus,Hydrogen,1.5,2035,10
SSP2,Mix2,poor,FV,,,Bus,Liquids,1,2050,10
SSP2,Mix2,poor,FV,,,LDV|2W,Electric,1,2050,10
SSP2,Mix2,poor,FV,,,LDV|2W,Hydrogen,1,2050,10
SSP2,Mix2,poor,FV,,,LDV|2W,Liquids,1,2050,10
SSP2,Mix2,poor,FV,,,Rail,Electric,1,2050,10
SSP2,Mix2,poor,FV,,,Rail,Hydrogen,1,2050,10
SSP2,Mix2,poor,FV,,,Rail,Liquids,1,2050,10
SSP2,Mix2,poor,FV,,,Ship,Electric,1,2050,10
SSP2,Mix2,poor,FV,,,Ship,Hydrogen,1,2050,10
SSP2,Mix2,poor,FV,,,Ship,Liquids,1,2050,10
SSP2,Mix2,poor,FV,,,Truck|heavy,Electric,1.5,2035,10
SSP2,Mix2,poor,FV,,,Truck|heavy,Hydrogen,1.5,2035,10
SSP2,Mix2,poor,FV,,,Truck|heavy,Liquids,1,2050,10
SSP2,Mix2,poor,FV,,,Truck|light,Electric,1.5,2035,10
SSP2,Mix2,poor,FV,,,Truck|light,Hydrogen,1.5,2035,10
SSP2,Mix2,poor,FV,,,Truck|light,Liquids,1,2050,10
SSP2,Mix2,rich,FV,,,Aviation,Electric,1,2050,10
SSP2,Mix2,rich,FV,,,Aviation,Hydrogen,1,2050,10
SSP2,Mix2,rich,FV,,,Aviation,Liquids,1,2050,10
SSP2,Mix2,rich,FV,,,Bus,Electric,2,2035,10
SSP2,Mix2,rich,FV,,,Bus,Hydrogen,2,2035,10
SSP2,Mix2,rich,FV,,,Bus,Liquids,1,2050,10
SSP2,Mix2,rich,FV,,,LDV|2W,Electric,1,2050,10
SSP2,Mix2,rich,FV,,,LDV|2W,Hydrogen,1,2050,10
SSP2,Mix2,rich,FV,,,LDV|2W,Liquids,1,2050,10
SSP2,Mix2,rich,FV,,,Rail,Electric,1,2050,10
SSP2,Mix2,rich,FV,,,Rail,Hydrogen,1,2050,10
SSP2,Mix2,rich,FV,,,Rail,Liquids,1,2050,10
SSP2,Mix2,rich,FV,,,Ship,Electric,1,2050,10
SSP2,Mix2,rich,FV,,,Ship,Hydrogen,1,2050,10
SSP2,Mix2,rich,FV,,,Ship,Liquids,1,2050,10
SSP2,Mix2,rich,FV,,,Truck|heavy,Electric,2,2035,10
SSP2,Mix2,rich,FV,,,Truck|heavy,Hydrogen,2,2035,10
SSP2,Mix2,rich,FV,,,Truck|heavy,Liquids,1,2050,10
SSP2,Mix2,rich,FV,,,Truck|light,Electric,2,2035,10
SSP2,Mix2,rich,FV,,,Truck|light,Hydrogen,2,2035,10
SSP2,Mix2,rich,FV,,,Truck|light,Liquids,1,2050,10
SSP2,Mix3,poor,FV,,,Aviation,Electric,1,2050,10
