"DEM_edge","EDGE_scenario","DEM_remind"
"SSP2_demDiffer","Mix4ICEban","SSP2_demDiffer_IKEA"
"SSP2_demDiffer","Mix1","SSP2_demDiffer_IKEA"
"SSP2","NAV_ele","SSP2_NAV_ele"
"SSP2","NAV_tec","SSP2_NAV_tec"
"SSP2_demRedStrong","NAV_act","SSP2_NAV_act"
"SSP2_demRedStrong","NAV_all","SSP2_NAV_all"
"SSP2_demRedStrong","NAV_lce","SSP2_NAV_lce"
"SSP2_demRedWeak","CAMP_lscWeak","SSP2_CAMP_weak"
"SSP2_demRedStrong","CAMP_lscStrong","SSP2_CAMP_strong"
"SSP2_demRedStrong","Mix1","SSP2_lowEn"
"SSP2_demRedStrong","Mix2","SSP2_lowEn"
"SSP2_demRedStrong","Mix2ICEban","SSP2_lowEn"
"SSP2_demRedStrong","Mix3ICEban","SSP2_lowEn"
"SSP2_demRedStrong","Mix4ICEban","SSP2_lowEn"
