countryName;countryCode;regionCode21;regionCode12
Afghanistan;AFG;OAS;OAS
Aland Islands;ALA;ENC;EUR
Albania;ALB;NES;NEU
Algeria;DZA;MEA;MEA
American Samoa;ASM;OAS;OAS
Andorra;AND;NES;NEU
Angola;AGO;SSA;SSA
Anguilla;AIA;LAM;LAM
Antarctica;ATA;LAM;LAM
Antigua and Barbuda;ATG;LAM;LAM
Argentina;ARG;LAM;LAM
Armenia;ARM;REF;REF
Aruba;ABW;LAM;LAM
Australia;AUS;CAZ;CAZ
Austria;AUT;EWN;EUR
Azerbaijan;AZE;REF;REF
Bahamas;BHS;LAM;LAM
Bahrain;BHR;MEA;MEA
Bangladesh;BGD;OAS;OAS
Barbados;BRB;LAM;LAM
Belarus;BLR;REF;REF
Belgium;BEL;EWN;EUR
Belize;BLZ;LAM;LAM
Benin;BEN;SSA;SSA
Bermuda;BMU;LAM;LAM
Bhutan;BTN;OAS;OAS
Bolivia, Plurinational State of;BOL;LAM;LAM
Bonaire, Sint Eustatius and Saba;BES;LAM;LAM
Bosnia and Herzegovina;BIH;NES;NEU
Botswana;BWA;SSA;SSA
Bouvet Island;BVT;LAM;LAM
Brazil;BRA;LAM;LAM
British Indian Ocean Territory;IOT;OAS;OAS
Brunei Darussalam;BRN;OAS;OAS
Bulgaria;BGR;ECS;EUR
Burkina Faso;BFA;SSA;SSA
Burundi;BDI;SSA;SSA
Cambodia;KHM;OAS;OAS
Cameroon;CMR;SSA;SSA
Canada;CAN;CAZ;CAZ
Cape Verde;CPV;SSA;SSA
Cayman Islands;CYM;LAM;LAM
Central African Republic;CAF;SSA;SSA
Chad;TCD;SSA;SSA
Chile;CHL;LAM;LAM
China;CHN;CHA;CHA
Christmas Island;CXR;OAS;OAS
Cocos (Keeling) Islands;CCK;OAS;OAS
Colombia;COL;LAM;LAM
Comoros;COM;SSA;SSA
Congo;COG;SSA;SSA
Congo, the Democratic Republic of the;COD;SSA;SSA
Cook Islands;COK;OAS;OAS
Costa Rica;CRI;LAM;LAM
Cote d Ivoire;CIV;SSA;SSA
Croatia;HRV;ECS;EUR
Cuba;CUB;LAM;LAM
Curacao;CUW;LAM;LAM
Cyprus;CYP;ESC;EUR
Czech Republic;CZE;ECE;EUR
Denmark;DNK;ENC;EUR
Djibouti;DJI;SSA;SSA
Dominica;DMA;LAM;LAM
Dominican Republic;DOM;LAM;LAM
Ecuador;ECU;LAM;LAM
Egypt;EGY;MEA;MEA
El Salvador;SLV;LAM;LAM
Equatorial Guinea;GNQ;SSA;SSA
Eritrea;ERI;SSA;SSA
Estonia;EST;ECE;EUR
Ethiopia;ETH;SSA;SSA
Falkland Islands (Malvinas);FLK;LAM;LAM
Faroe Islands;FRO;ENC;EUR
Fiji;FJI;OAS;OAS
Finland;FIN;ENC;EUR
France;FRA;FRA;EUR
French Guiana;GUF;LAM;LAM
French Polynesia;PYF;OAS;OAS
French Southern Territories;ATF;OAS;OAS
Gabon;GAB;SSA;SSA
Gambia;GMB;SSA;SSA
Georgia;GEO;REF;REF
Germany;DEU;DEU;EUR
Ghana;GHA;SSA;SSA
Gibraltar;GIB;UKI;EUR
Greece;GRC;ESC;EUR
Greenland;GRL;NEN;NEU
Grenada;GRD;LAM;LAM
Guadeloupe;GLP;LAM;LAM
Guam;GUM;OAS;OAS
Guatemala;GTM;LAM;LAM
Guernsey;GGY;UKI;EUR
Guinea;GIN;SSA;SSA
Guinea-Bissau;GNB;SSA;SSA
Guyana;GUY;LAM;LAM
Haiti;HTI;LAM;LAM
Heard Island and McDonald Islands;HMD;CAZ;CAZ
Holy See (Vatican City State);VAT;NES;NEU
Honduras;HND;LAM;LAM
Hong Kong;HKG;CHA;CHA
Hungary;HUN;ECS;EUR
Iceland;ISL;NEN;NEU
India;IND;IND;IND
Indonesia;IDN;OAS;OAS
Iran, Islamic Republic of;IRN;MEA;MEA
Iraq;IRQ;MEA;MEA
Ireland;IRL;UKI;EUR
