univocalName;aggrAviationShipping;aggrActiveModes;aggrVehSizes
International Aviation;|Aviation;NA;NA
Domestic Aviation;|Aviation;NA;NA
Motorcycle (50-250cc);NA;NA;NA
Moped;NA;NA;NA
Motorcycle (>250cc);NA;NA;NA
Mini Car;NA;NA;|Small
Subcompact Car;NA;NA;|Small
Compact Car;NA;NA;|Medium
Midsize Car;NA;NA;|Medium
Large Car and SUV;NA;NA;|Large
Large Car;NA;NA;|Large
Van;NA;NA;|Large
HSR;NA;NA;NA
Bus;NA;NA;NA
Passenger Rail;NA;NA;NA
Walk;NA;|Non-motorized;NA
Cycle;NA;|Non-motorized;NA
International Ship;|Shipping;NA;NA
Domestic Ship;|Shipping;NA;NA
Freight Rail;NA;NA;NA
Truck (0-3_5t);NA;NA;|Light
Truck (7_5t);NA;NA;|Light
Truck (18t);NA;NA;|Heavy
Truck (26t);NA;NA;|Heavy
Truck (40t);NA;NA;|Heavy
