SSPscen;transportPolScen;FVvehvar;technology;annualImprovementRate;startYear;endYear
SSP2;ECEMF_HighEl_HighEff;Aviation;Electric;1;2020;2050
SSP2;ECEMF_HighEl_HighEff;Aviation;Hydrogen;1;2020;2050
SSP2;ECEMF_HighEl_HighEff;Aviation;Liquids;0.8;2020;2050
SSP2;ECEMF_HighEl_HighEff;Bus;BEV;1.5;2020;2050
SSP2;ECEMF_HighEl_HighEff;Bus;FCEV;1.5;2020;2050
SSP2;ECEMF_HighEl_HighEff;Bus;Liquids;0.5;2020;2050
SSP2;ECEMF_HighEl_HighEff;Bus;Gases;0.5;2020;2050
SSP2;ECEMF_HighEl_HighEff;LDV|2W;BEV;1.5;2020;2050
SSP2;ECEMF_HighEl_HighEff;LDV|2W;Liquids;0.2;2020;2050
SSP2;ECEMF_HighEl_HighEff;LDV|4W;BEV;1.5;2020;2050
SSP2;ECEMF_HighEl_HighEff;LDV|4W;FCEV;1.5;2020;2050
SSP2;ECEMF_HighEl_HighEff;LDV|4W;Hybrid electric;0.2;2020;2050
SSP2;ECEMF_HighEl_HighEff;LDV|4W;Liquids;0.2;2020;2050
SSP2;ECEMF_HighEl_HighEff;LDV|4W;Gases;0.2;2020;2050
SSP2;ECEMF_HighEl_HighEff;Rail;Electric;0.6;2020;2050
SSP2;ECEMF_HighEl_HighEff;Rail;Liquids;0.2;2020;2050
SSP2;ECEMF_HighEl_HighEff;Ship;Electric;1;2020;2050
SSP2;ECEMF_HighEl_HighEff;Ship;Liquids;1;2020;2050
SSP2;ECEMF_HighEl_HighEff;Truck|heavy;BEV;1.7;2020;2050
SSP2;ECEMF_HighEl_HighEff;Truck|heavy;FCEV;1.7;2020;2050
SSP2;ECEMF_HighEl_HighEff;Truck|heavy;Liquids;0.5;2020;2050
SSP2;ECEMF_HighEl_HighEff;Truck|heavy;Gases;0.5;2020;2050
SSP2;ECEMF_HighEl_HighEff;Truck|light;BEV;1.7;2020;2050
SSP2;ECEMF_HighEl_HighEff;Truck|light;FCEV;1.7;2020;2050
SSP2;ECEMF_HighEl_HighEff;Truck|light;Liquids;0.5;2020;2050
SSP2;ECEMF_HighEl_HighEff;Truck|light;Gases;0.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Aviation;Electric;1;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Aviation;Hydrogen;1;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Aviation;Liquids;1;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Bus;BEV;1.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Bus;FCEV;1.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Bus;Liquids;0.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Bus;Gases;0.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;LDV|2W;BEV;1.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;LDV|2W;Liquids;0.2;2020;2050
SSP2;ECEMF_HighEl_LifestCha;LDV|4W;BEV;1.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;LDV|4W;FCEV;1.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;LDV|4W;Hybrid electric;0.2;2020;2050
SSP2;ECEMF_HighEl_LifestCha;LDV|4W;Liquids;0.2;2020;2050
SSP2;ECEMF_HighEl_LifestCha;LDV|4W;Gases;0.2;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Rail;Electric;0.6;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Rail;Liquids;0.2;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Ship;Electric;1;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Ship;Hydrogen;1;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Ship;Liquids;1;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Truck|heavy;BEV;1.7;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Truck|heavy;FCEV;1.7;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Truck|heavy;Liquids;0.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Truck|heavy;Gases;0.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Truck|light;BEV;1.7;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Truck|light;FCEV;1.7;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Truck|light;Liquids;0.5;2020;2050
SSP2;ECEMF_HighEl_LifestCha;Truck|light;Gases;0.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;Aviation;Electric;0.8;2020;2050
SSP2;ECEMF_HighH2_HighEff;Aviation;Hydrogen;1;2020;2050
SSP2;ECEMF_HighH2_HighEff;Aviation;Liquids;1;2020;2050
SSP2;ECEMF_HighH2_HighEff;Bus;BEV;1;2020;2050
SSP2;ECEMF_HighH2_HighEff;Bus;FCEV;1.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;Bus;Liquids;1.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;Bus;Gases;1.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;LDV|2W;BEV;1.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;LDV|2W;Liquids;1.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;LDV|4W;BEV;1.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;LDV|4W;FCEV;1.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;LDV|4W;Hybrid electric;1.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;LDV|4W;Liquids;1.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;LDV|4W;Gases;1.5;2020;2050
SSP2;ECEMF_HighH2_HighEff;Rail;Electric;0.6;2020;2050
SSP2;ECEMF_HighH2_HighEff;Rail;Liquids;0.6;2020;2050
SSP2;ECEMF_HighH2_HighEff;Ship;Electric;1;2020;2050
SSP2;ECEMF_HighH2_HighEff;Ship;Hydrogen;1;2020;2050
SSP2;ECEMF_HighH2_HighEff;Ship;Liquids;1;2020;2050
SSP2;ECEMF_HighH2_HighEff;Truck|heavy;BEV;1;2020;2050
SSP2;ECEMF_HighH2_HighEff;Truck|heavy;FCEV;1.7;2020;2050
SSP2;ECEMF_HighH2_HighEff;Truck|heavy;Liquids;1.7;2020;2050
SSP2;ECEMF_HighH2_HighEff;Truck|heavy;Gases;1.7;2020;2050
SSP2;ECEMF_HighH2_HighEff;Truck|light;BEV;1;2020;2050
SSP2;ECEMF_HighH2_HighEff;Truck|light;FCEV;1.7;2020;2050
SSP2;ECEMF_HighH2_HighEff;Truck|light;Liquids;1.7;2020;2050
