SSPscen;region;sector;2015;2030;2050;2100
SSP1;DEU;trn_freight;0.4;0.6;0.4;0
SSP2;DEU;trn_freight;0.4;0.6;0.4;0
SSP5;DEU;trn_freight;0.4;0.6;0.4;0
SDP;DEU;trn_freight;0.4;0;0;0
SDP_MC;DEU;trn_freight;0.4;0.2;0.1;0
SDP_RC;DEU;trn_freight;0.4;-0.1;-0.1;0
SDP_EI;DEU;trn_freight;0.4;0.1;0;0
SSP1;DEU;trn_pass;0.3;0.2;0.1;0
SSP2;DEU;trn_pass;0.3;0.2;0.1;0
SSP5;DEU;trn_pass;0.3;0.2;0.1;0
SDP;DEU;trn_pass;0.3;0;0;0
SDP_MC;DEU;trn_pass;0.3;0.2;0.1;0
SDP_RC;DEU;trn_pass;0.3;-0.1;-0.1;0
SDP_EI;DEU;trn_pass;0.3;0.1;0;0
SDP;OAS;trn_pass;0;0;-0.2;0
SDP;IND;trn_pass;0;-0.3;0;0
SDP;CHA;trn_pass;0;-0.3;0.1;-0.2
SDP;OAS;trn_aviation_intl;0;-0.3;-0.1;0
SDP;MEA;trn_aviation_intl;0;-0.4;-0.2;0
SDP;UKI;trn_aviation_intl;0;-0.2;-0.1;0
SDP;MEA;trn_freight;0;0.8;0.4;0
SDP;REF;trn_freight;0;-0.9;-0.2;0
SDP;CHA;trn_freight;-0.5;-0.4;-0.4;-5
SDP;UKI;trn_freight;0;0.2;0.1;0
SDP;IND;trn_shipping_intl;0;1.1;0.6;0
SDP;SSA;trn_shipping_intl;0;0.2;0.4;0
SDP;REF;trn_shipping_intl;0;-0.4;-0.2;0
SDP;OAS;trn_shipping_intl;0;-0.3;-0.2;0
SDP;CAZ;trn_shipping_intl;0;0.5;0.3;0
SDP;ECS;trn_aviation_intl;0;0.4;0.2;0
SDP;NES;trn_aviation_intl;0;1;0.2;0
SDP;ECE;trn_aviation_intl;0;1;0.2;0
SDP;EWN;trn_aviation_intl;0;-0.3;-0.2;0
SDP;NES;trn_pass;0;0.6;0.5;0
SDP;ESW;trn_freight;0;-0.5;-0.2;0
SDP;ECE;trn_freight;0;0;-0.4;-0.2
SDP;ECS;trn_freight;0;0;-0.2;0
SDP;FRA;trn_freight;0;0;0.2;0.1
SDP;EWN;trn_shipping_intl;0;-0.3;-0.4;-0.3
SDP;NES;trn_shipping_intl;0;2;2;0.8
SDP_MC;OAS;trn_pass;0;0;-0.2;0
SDP_MC;IND;trn_pass;0;-0.3;0;0
SDP_MC;CHA;trn_pass;0;-0.3;0.1;-0.2
SDP_MC;OAS;trn_aviation_intl;0;-0.3;-0.1;0
SDP_MC;MEA;trn_aviation_intl;0;-0.4;-0.2;0
SDP_MC;UKI;trn_aviation_intl;0;-0.2;-0.1;0
SDP_MC;MEA;trn_freight;0;0.8;0.4;0
SDP_MC;REF;trn_freight;0;-0.9;-0.2;0
SDP_MC;CHA;trn_freight;-0.5;-0.4;-0.4;-5
SDP_MC;UKI;trn_freight;0;0.2;0.1;0
SDP_MC;IND;trn_shipping_intl;0;1.1;0.6;0
SDP_MC;SSA;trn_shipping_intl;0;0.2;0.4;0
SDP_MC;REF;trn_shipping_intl;0;-0.4;-0.2;0
SDP_MC;OAS;trn_shipping_intl;0;-0.3;-0.2;0
SDP_MC;CAZ;trn_shipping_intl;0;0.5;0.3;0
SDP_MC;ECS;trn_aviation_intl;0;0.4;0.2;0
SDP_MC;NES;trn_aviation_intl;0;1;0.2;0
SDP_MC;ECE;trn_aviation_intl;0;1;0.2;0
SDP_MC;EWN;trn_aviation_intl;0;-0.3;-0.2;0
SDP_MC;NES;trn_pass;0;0.6;0.5;0
SDP_MC;ESW;trn_freight;0;-0.5;-0.2;0
SDP_MC;ECE;trn_freight;0;0;-0.4;-0.2
SDP_MC;ECS;trn_freight;0;0;-0.2;0
SDP_MC;FRA;trn_freight;0;0;0.2;0.1
SDP_MC;EWN;trn_shipping_intl;0;-0.3;-0.4;-0.3
SDP_MC;NES;trn_shipping_intl;0;2;2;0.8
SDP_RC;OAS;trn_pass;0;0;-0.2;0
SDP_RC;IND;trn_pass;0;-0.3;0;0
SDP_RC;CHA;trn_pass;0;-0.3;0.1;-0.2
SDP_RC;OAS;trn_aviation_intl;0;-0.3;-0.1;0
SDP_RC;MEA;trn_aviation_intl;0;-0.4;-0.2;0
SDP_RC;UKI;trn_aviation_intl;0;-0.2;-0.1;0
SDP_RC;MEA;trn_freight;0;0.8;0.4;0
SDP_RC;REF;trn_freight;0;-0.9;-0.2;0
SDP_RC;CHA;trn_freight;-0.5;-0.4;-0.4;-5
SDP_RC;UKI;trn_freight;0;0.2;0.1;0
SDP_RC;IND;trn_shipping_intl;0;1.1;0.6;0
SDP_RC;SSA;trn_shipping_intl;0;0.2;0.4;0
SDP_RC;REF;trn_shipping_intl;0;-0.4;-0.2;0
SDP_RC;OAS;trn_shipping_intl;0;-0.3;-0.2;0
SDP_RC;CAZ;trn_shipping_intl;0;0.5;0.3;0
SDP_RC;ECS;trn_aviation_intl;0;0.4;0.2;0
SDP_RC;NES;trn_aviation_intl;0;1;0.2;0
SDP_RC;ECE;trn_aviation_intl;0;1;0.2;0
SDP_RC;EWN;trn_aviation_intl;0;-0.3;-0.2;0
SDP_RC;NES;trn_pass;0;0.6;0.5;0
SDP_RC;ESW;trn_freight;0;-0.5;-0.2;0
SDP_RC;ECE;trn_freight;0;0;-0.4;-0.2
SDP_RC;ECS;trn_freight;0;0;-0.2;0
SDP_RC;FRA;trn_freight;0;0;0.2;0.1
SDP_RC;EWN;trn_shipping_intl;0;-0.3;-0.4;-0.3
SDP_RC;NES;trn_shipping_intl;0;2;2;0.8
SDP_EI;OAS;trn_pass;0;0;-0.2;0
SDP_EI;IND;trn_pass;0;-0.3;0;0
SDP_EI;CHA;trn_pass;0;-0.3;0.1;-0.2
SDP_EI;OAS;trn_aviation_intl;0;-0.3;-0.1;0
SDP_EI;MEA;trn_aviation_intl;0;-0.4;-0.2;0
SDP_EI;UKI;trn_aviation_intl;0;-0.2;-0.1;0
SDP_EI;MEA;trn_freight;0;0.8;0.4;0
SDP_EI;REF;trn_freight;0;-0.9;-0.2;0
SDP_EI;CHA;trn_freight;-0.5;-0.4;-0.4;-5
SDP_EI;UKI;trn_freight;0;0.2;0.1;0
SDP_EI;IND;trn_shipping_intl;0;1.1;0.6;0
SDP_EI;SSA;trn_shipping_intl;0;0.2;0.4;0
SDP_EI;REF;trn_shipping_intl;0;-0.4;-0.2;0
SDP_EI;OAS;trn_shipping_intl;0;-0.3;-0.2;0
SDP_EI;CAZ;trn_shipping_intl;0;0.5;0.3;0
SDP_EI;ECS;trn_aviation_intl;0;0.4;0.2;0
SDP_EI;NES;trn_aviation_intl;0;1;0.2;0
SDP_EI;ECE;trn_aviation_intl;0;1;0.2;0
SDP_EI;EWN;trn_aviation_intl;0;-0.3;-0.2;0
SDP_EI;NES;trn_pass;0;0.6;0.5;0
SDP_EI;ESW;trn_freight;0;-0.5;-0.2;0
SDP_EI;ECE;trn_freight;0;0;-0.4;-0.2
SDP_EI;ECS;trn_freight;0;0;-0.2;0
SDP_EI;FRA;trn_freight;0;0;0.2;0.1
SDP_EI;EWN;trn_shipping_intl;0;-0.3;-0.4;-0.3
SDP_EI;NES;trn_shipping_intl;0;2;2;0.8
SSP1;MEA;trn_shipping_intl;0.3;0;-0.1;-0.1
SSP1;CHA;trn_shipping_intl;-0.4;0;-0.3;-2
SSP1;JPN;trn_shipping_intl;0;0;-1;-2
SSP1;USA;trn_shipping_intl;0;0;0;-0.1
SSP1;REF;trn_aviation_intl;0;-0.3;0.2;0.2
SSP1;IND;trn_aviation_intl;0;0.5;-0.1;0.9
SSP1;SSA;trn_aviation_intl;0;-0.1;0.1;0.1
SSP1;CHA;trn_aviation_intl;0;0.1;0;-0.1
SSP1;ECS;trn_aviation_intl;0;0.2;0;-0.2
SSP1;NES;trn_aviation_intl;0;0.8;0.1;0
SSP1;ECE;trn_aviation_intl;0;0.6;0;-0.2
SSP1;EWN;trn_aviation_intl;0;-0.1;0;-0.2
SSP1;CAZ;trn_aviation_intl;0;-0.2;-0.2;-0.2
SSP1;DEU;trn_aviation_intl;0;-0.2;-0.2;-0.2
SSP1;ENC;trn_aviation_intl;0;-0.2;-0.2;-0.2
SSP1;ESC;trn_aviation_intl;0;-0.2;-0.2;-0.2
SSP1;ESW;trn_aviation_intl;0;-0.2;-0.2;-0.2
SSP1;FRA;trn_aviation_intl;0;-0.2;-0.2;-0.2
SSP1;JPN;trn_aviation_intl;0;-0.2;-0.1;-0.1
SSP1;LAM;trn_aviation_intl;0;-0.1;-0.1;-0.1
SSP1;NEN;trn_aviation_intl;0;-0.2;-0.1;-0.1
SSP1;USA;trn_aviation_intl;0;-0.2;-0.2;-0.2
SSP1;CAZ;trn_pass;-0.1;-0.1;-0.3;0
SSP1;USA;trn_pass;-0.1;-0.1;-0.4;0
SSP1;JPN;trn_pass;0;0;0.3;0.1
SSP1;MEA;trn_pass;0;-0.3;-0.4;0.2
SSP1;REF;trn_pass;0;-0.1;0.1;0.2
SSP1;SSA;trn_pass;0;0;-0.3;0.2
SSP1;SSA;trn_freight;0;0;-0.2;0
SSP1;IND;trn_freight;0;-0.2;-0.5;-0.1
SSP1;USA;trn_freight;0;0.1;0.1;0.2
SSP1;CAZ;trn_freight;0.3;0.1;-0.3;-0.4
SSP1;OAS;trn_pass;0;0;-0.2;0.2
SSP1;IND;trn_pass;0;-0.3;-0.1;0.45
SSP1;CHA;trn_pass;0;-0.2;0.3;-0.1
SSP1;OAS;trn_aviation_intl;-0.5;-0.5;-0.2;0.7
SSP1;MEA;trn_aviation_intl;0;-0.4;-0.3;0
SSP1;UKI;trn_aviation_intl;0;-0.2;-0.1;0
SSP1;MEA;trn_freight;0;0.2;0.2;0.2
SSP1;REF;trn_freight;-0.8;-0.9;-0.2;0
SSP1;CHA;trn_freight;-1;-0.4;0;-1
SSP1;UKI;trn_freight;0;0.2;0.1;0
SSP1;LAM;trn_freight;0;0;-0.1;-0.2
SSP1;IND;trn_shipping_intl;0;1.1;0.6;0.2
SSP1;SSA;trn_shipping_intl;0;0.3;0.4;0.2
