SSP_scenario,region,technology,vehicle_type,subsector_L1,subsector_L2,subsector_L3,sector,level,approx,2020,2030,2050,2100,2150
SDP,CAZ,,,,,Cycle,trn_pass,S3S,linear,1.910e-02,3.820e-02,3.820e-02,7.640e-02,7.640e-02
SDP,CAZ,,,,,Domestic Aviation,trn_pass,S3S,linear,1.500e-03,1.600e-03,1.900e-03,2.000e-03,2.000e-03
SDP,CAZ,,,,,Domestic Ship,trn_freight,S3S,linear,1.550e-02,1.550e-02,1.550e-02,1.550e-02,1.550e-02
SDP,CAZ,,,,,Freight Rail,trn_freight,S3S,linear,1.050e-01,1.050e-01,1.050e-01,1.050e-01,1.050e-01
SDP,CAZ,,,,,HSR,trn_pass,S3S,linear,8.790e-08,8.790e-05,2.640e-04,2.640e-04,2.640e-04
SDP,CAZ,,,,,International Aviation,trn_aviation_intl,S3S,linear,1.000e+00,1.000e+00,1.000e+00,1.000e+00,1.000e+00
SDP,CAZ,,,,,International Ship,trn_shipping_intl,S3S,linear,1.000e+00,1.000e+00,1.000e+00,1.000e+00,1.000e+00
SDP,CAZ,,,,,Passenger Rail,trn_pass,S3S,linear,8.780e-04,8.780e-04,8.780e-04,8.780e-04,8.780e-04
SDP,CAZ,,,,,Walk,trn_pass,S3S,linear,1.000e+00,1.000e+00,1.000e+00,1.000e+00,1.000e+00
SDP,CAZ,,,,,trn_freight_road,trn_freight,S3S,linear,1.000e+00,1.000e+00,1.000e+00,1.000e+00,1.000e+00
SDP,CAZ,,,,,trn_pass_road,trn_pass,S3S,linear,1.540e-01,1.540e-01,1.540e-01,1.540e-01,1.540e-01
SDP,CAZ,,,,Bus,trn_pass_road,trn_pass,S2S3,linear,8.690e-02,8.690e-02,1.090e-01,1.380e-01,1.380e-01
SDP,CAZ,,,,trn_pass_road_LDV,trn_pass_road,trn_pass,S2S3,linear,1.000e+00,1.000e+00,1.000e+00,1.000e+00,1.000e+00
